name,height,european,weight,from,position
Ryan Kelly,2.11,FALSE,230,Duke,F
Larry Nance Jr.,2.06,FALSE,230,Wyoming,F
Julius Randle,2.06,FALSE,250,Kentucky,F
D'Angelo Russell,1.96,FALSE,195,Ohio State,G
Robert Sacre,2.13,FALSE,270,Gonzaga,C
Lou Williams,1.85,FALSE,175,South Gwinnett HS (GA),G
Metta World Peace,2.01,FALSE,260,St. John's,F
Nick Young,2.01,FALSE,210,Southern California,G/F
Eric Bledsoe,1.85,FALSE,190,Kentucky,G
Devin Booker,1.98,FALSE,206,Kentucky,G
Tyson Chandler,2.16,FALSE,240,Manuel Dominguez HS (CA),C
Archie Goodwin,1.96,FALSE,200,Kentucky,G
Cory Jefferson,2.06,FALSE,218,Baylor,F
Brandon Knight,1.91,FALSE,189,Kentucky,G
Alex Len,2.16,TRUE,260,Maryland,C
Jon Leuer,2.08,FALSE,228,Wisconsin,F/C
Markieff Morris,2.08,FALSE,245,Kansas,F
Ronnie Price,1.88,FALSE,190,Utah Valley State,G
Mirza Teletovi��,2.06,TRUE,242,Bosnia and Herzegovina,F
P. J. Tucker,1.98,FALSE,245,Texas,F
T. J. Warren,2.03,FALSE,230,North Carolina State,F
Sonny Weems,1.98,FALSE,205,Arkansas,G/F
Quincy Acy,2.01,FALSE,240,Baylor,F
James Anderson,1.98,FALSE,213,Oklahoma State,G/F
Marco Belinelli,1.96,TRUE,210,Italy,G
Caron Butler,2.01,FALSE,228,Connecticut,F
Omri Casspi,2.06,TRUE,225,Israel,F
Willie Cauley-Stein,2.13,FALSE,240,Kentucky,C
Darren Collison,1.83,FALSE,175,UCLA,G
DeMarcus Cousins,2.11,FALSE,270,Kentucky,C
Seth Curry,1.88,FALSE,185,Duke,G
Duje Dukan,2.08,FALSE,218,Wisconsin,F
Rudy Gay,2.03,FALSE,230,Connecticut,F
Kosta Koufos,2.13,FALSE,265,Ohio State,C
Ben McLemore,1.96,FALSE,195,Kansas,G
Eric Moreland,2.08,FALSE,238,Oregon State,F/C
Rajon Rondo,1.85,FALSE,186,Kentucky,G
